noProject Description,Cleaned,response
"This system is a combination of web as well as android application where the user will be using the android application and admin as well as HR will work with web application. This application is meant for field work users. The user will have this application in his android phone, when the user will login to the system his image will be captured and his GPS location will be send to the admin where admin will view image and GPS location in web application. After Login, GPS location of the employee will be tracked automatically by the system and send to the admin after every 5 minutes .When user logout the system again the image will be captured as well as GPS location will be send to the admin. In order to keep track of the attendance as well as payroll of the field work people, this system plays a major role. The role of the admin is to add new employee by entering his personal details and admin will provide the employee with identity number and password to the user so that he can access the application in his android phone. Admin can view the GPS location of the employee by entering Employee Identity Number as well as Date. Admin can check the salary of the particular employee by entering date and employee ID. Admin can view latitude and longitude of the GPS location sent by the employee. Admin can change the password of the employee. When the HR login to the system he can check the GPS location of the employee by entering employee ID and date. HR can check salary of the particular employee by entering employee identity number and date. This application helps admin and hr to easily check the salary of the employee. Since GPS location of the employee is tracked, so employee will not attempt to add proxy attendance.",this system is a combination of web as well as android application where the user will be using the android application and admin as well as hr will work with web application this application is meant for field work users the user will have this application in his android phone when the user will login to the system his image will be captured and his gps location will be send to the admin where admin will view image and gps location in web application after login gps location of the employee will be tracked automatically by the system and send to the admin after every 5 minutes when user logout the system again the image will be captured as well as gps location will be send to the admin in order to keep track of the attendance as well as payroll of the field work people this system plays a major role the role of the admin is to add new employee by entering his personal details and admin will provide the employee with identity number and password to the user so that he can access the application in his android phone admin can view the gps location of the employee by entering employee identity number as well as date admin can check the salary of the particular employee by entering date and employee id admin can view latitude and longitude of the gps location sent by the employee admin can change the password of the employee when the hr login to the system he can check the gps location of the employee by entering employee id and date hr can check salary of the particular employee by entering employee identity number and date this application helps admin and hr to easily check the salary of the employee since gps location of the employee is tracked so employee will not attempt to add proxy attendance,"{'entities': [], 'relationships': []}{
  ""entities"": [
    {
      ""name"": ""User"",
      ""attributes"": [
        ""user_id"",
        ""username"",
        ""password"",
        ""image"",
        ""gps_location"",
        ""status""
      ]
    },
    {
      ""name"": ""Employee"",
      ""attributes"": [
        ""employee_id"",
        ""name"",
        ""email"",
        ""phone_number"",
        ""identity_number"",
        ""salary"",
        ""date_of_joining"",
        ""status""
      ]
    },
    {
      ""name"": ""Admin"",
      ""attributes"": [
        ""admin_id"",
        ""username"",
        ""password"",
        ""email""
      ]
    },
    {
      ""name"": ""HR"",
      ""attributes"": [
        ""hr_id"",
        ""username"",
        ""password"",
        ""email""
      ]
    },
    {
      ""name"": ""Attendance"",
      ""attributes"": [
        ""attendance_id"",
        ""employee_id"",
        ""login_time"",
        ""logout_time"",
        ""gps_location"",
        ""status""
      ]
    },
    {
      ""name"": ""Payroll"",
      ""attributes"": [
        ""payroll_id"",
        ""employee_id"",
        ""salary_amount"",
        ""pay_date"",
        ""status""
      ]
    }
  ],
  ""relationships"": [
    {
      ""from"": ""Admin"",
      ""to"": ""Employee"",
      ""label"": ""Manages""
    },
    {
      ""from"": ""Admin"",
      ""to"": ""Attendance"",
      ""label"": ""Checks""
    },
    {
      ""from"": ""Admin"",
      ""to"": ""Payroll"",
      ""label"": ""Generates""
    },
    {
      ""from"": ""HR"",
      ""to"": ""Employee"",
      ""label"": ""Monitors""
    },
    {
      ""from"": ""HR"",
      ""to"": ""Attendance"",
      ""label"": ""Checks""
    },
    {
      ""from"": ""HR"",
      ""to"": ""Payroll"",
      ""label"": ""Monitors""
    },
    {
      ""from"": ""User"",
      ""to"": ""Attendance"",
      ""label"": ""LogsIn""
    },
    {
      ""from"": ""User"",
      ""to"": ""Attendance"",
      ""label"": ""LogsOut""
    }
  ]
}
"
"The College bot project is built using artificial algorithms that analyses userÃ¢ÂÂs queries and understand userÃ¢ÂÂs message. This System is a web application which provides answer to the query of the student. Students just have to query through the bot which is used for chating. Students can chat using any format there is no specific format the user has to follow. The System uses built in artificial intelligence to answer the query. The answers are appropriate what the user queries. The User can query any college related activities through the system. The user does not have to personally go to the college for enquiry. The System analyses the question and than answers to the user. The system answers to the query as if it is answered by the person. With the help of artificial intelligence, the system answers the query asked by the students. The system replies using an effective Graphical user interface which implies that as if a real person is talking to the user. The user just has to register himself to the sy and has to login to the system. After login user can access to the various helping pages. Various helping pages has the bot through which the user can chat by asking queries related to college activities. The system replies to the user with the help of effective graphical user interface. The user can query about the college related activities through online with the help of this web application. The user can query college related activities such as date and timing of annual day, sports day, and other cultural activities. This system helps the student to be updated about the college activities.",the college bot project is built using artificial algorithms that analyses users queries and understand users message this system is a web application which provides answer to the query of the student students just have to query through the bot which is used for chating students can chat using any format there is no specific format the user has to follow the system uses built in artificial intelligence to answer the query the answers are appropriate what the user queries the user can query any college related activities through the system the user does not have to personally go to the college for enquiry the system analyses the question and than answers to the user the system answers to the query as if it is answered by the person with the help of artificial intelligence the system answers the query asked by the students the system replies using an effective graphical user interface which implies that as if a real person is talking to the user the user just has to register himself to the sy and has to login to the system after login user can access to the various helping pages various helping pages has the bot through which the user can chat by asking queries related to college activities the system replies to the user with the help of effective graphical user interface the user can query about the college related activities through online with the help of this web application the user can query college related activities such as date and timing of annual day sports day and other cultural activities this system helps the student to be updated about the college activities,"{
  ""entities"": [
    {
      ""name"": ""User"",
      ""attributes"": [
        ""user_id"",
        ""username"",
        ""password"",
        ""email"",
        ""registration_date""
      ]
    },
    {
      ""name"": ""Bot"",
      ""attributes"": [
        ""bot_id"",
        ""bot_name"",
        ""version"",
        ""description"",
        ""ai_algorithm""
      ]
    },
    {
      ""name"": ""Query"",
      ""attributes"": [
        ""query_id"",
        ""user_id"",
        ""query_text"",
        ""query_date"",
        ""response_text"",
        ""response_date""
      ]
    },
    {
      ""name"": ""CollegeEvent"",
      ""attributes"": [
        ""event_id"",
        ""event_name"",
        ""event_date"",
        ""event_time"",
        ""event_location"",
        ""event_type""
      ]
    }
  ],
  ""relationships"": [
    {
      ""from"": ""User"",
      ""to"": ""Query"",
      ""label"": ""Submits""
    },
    {
      ""from"": ""Bot"",
      ""to"": ""Query"",
      ""label"": ""Responds""
    },
    {
      ""from"": ""Query"",
      ""to"": ""CollegeEvent"",
      ""label"": ""QueriesAbout""
    }
  ]
}
"
"This is an online Bike and bike parts store that has listings of various bike along with their features. It also consists of Bike service Registration. This system allows user to buy bike, bike parts and inventory online. System allow user to check various articles submitted by user and even comment on them. Credit card payment facility is available. This system also consists of Ã¢ÂÂRent a BikeÃ¢ÂÂ feature where user can ask admin for bike on rent. The visitor who visits the system must register himself by filling up personal details. After registration user can login to the system with his username and password in order to access the system. User can check various bike listing and can view each bikes feature. User can also check features of the bike as well as inventory parts, and accessories. User may select the product and can add the product to shopping cart. User can make payment through credit cards by clicking on credit card payment option. User must register himself for posting an article. This applicatis a combination of both sales and inventory management of the bike and bike parts. User can easily purchase bike or bike parts by using this system user does not have to come manually to shop to purchase the product. He can view the bike and bike parts in effective Graphical User Interface. User can view features of each product and can compare the products in order to purchase a better product.",this is an online bike and bike parts store that has listings of various bike along with their features it also consists of bike service registration this system allows user to buy bike bike parts and inventory online system allow user to check various articles submitted by user and even comment on them credit card payment facility is available this system also consists of rent a bike feature where user can ask admin for bike on rent the visitor who visits the system must register himself by filling up personal details after registration user can login to the system with his username and password in order to access the system user can check various bike listing and can view each bikes feature user can also check features of the bike as well as inventory parts and accessories user may select the product and can add the product to shopping cart user can make payment through credit cards by clicking on credit card payment option user must register himself for posting an article this applicatis a combination of both sales and inventory management of the bike and bike parts user can easily purchase bike or bike parts by using this system user does not have to come manually to shop to purchase the product he can view the bike and bike parts in effective graphical user interface user can view features of each product and can compare the products in order to purchase a better product,"{
  ""entities"": [
    {
      ""name"": ""User"",
      ""attributes"": [
        ""user_id"",
        ""username"",
        ""password"",
        ""email"",
        ""phone_number"",
        ""address"",
        ""registration_date""
      ]
    },
    {
      ""name"": ""Bike"",
      ""attributes"": [
        ""bike_id"",
        ""name"",
        ""brand"",
        ""model"",
        ""price"",
        ""engine_capacity"",
        ""color"",
        ""description"",
        ""features"",
        ""stock_quantity""
      ]
    },
    {
      ""name"": ""BikePart"",
      ""attributes"": [
        ""part_id"",
        ""part_name"",
        ""price"",
        ""part_description"",
        ""stock_quantity""
      ]
    },
    {
      ""name"": ""Inventory"",
      ""attributes"": [
        ""inventory_id"",
        ""product_id"",
        ""product_type"",
        ""quantity_available"",
        ""warehouse_location""
      ]
    },
    {
      ""name"": ""Article"",
      ""attributes"": [
        ""article_id"",
        ""user_id"",
        ""title"",
        ""content"",
        ""submission_date""
      ]
    },
    {
      ""name"": ""Comment"",
      ""attributes"": [
        ""comment_id"",
        ""user_id"",
        ""article_id"",
        ""comment_text"",
        ""comment_date""
      ]
    },
    {
      ""name"": ""Payment"",
      ""attributes"": [
        ""payment_id"",
        ""user_id"",
        ""payment_date"",
        ""amount"",
        ""payment_method"",
        ""payment_status""
      ]
    },
    {
      ""name"": ""BikeRentRequest"",
      ""attributes"": [
        ""request_id"",
        ""user_id"",
        ""bike_id"",
        ""request_date"",
        ""status""
      ]
    }
  ],
  ""relationships"": [
    {
      ""from"": ""User"",
      ""to"": ""Bike"",
      ""label"": ""Purchases""
    },
    {
      ""from"": ""User"",
      ""to"": ""BikePart"",
      ""label"": ""Purchases""
    },
    {
      ""from"": ""User"",
      ""to"": ""Article"",
      ""label"": ""Submits""
    },
    {
      ""from"": ""User"",
      ""to"": ""Comment"",
      ""label"": ""Posts""
    },
    {
      ""from"": ""Article"",
      ""to"": ""Comment"",
      ""label"": ""HasComments""
    },
    {
      ""from"": ""User"",
      ""to"": ""Payment"",
      ""label"": ""Makes""
    },
    {
      ""from"": ""User"",
      ""to"": ""BikeRentRequest"",
      ""label"": ""MakesRequest""
    },
    {
      ""from"": ""Bike"",
      ""to"": ""Inventory"",
      ""label"": ""ListedIn""
    },
    {
      ""from"": ""BikePart"",
      ""to"": ""Inventory"",
      ""label"": ""ListedIn""
    }
  ]
}
"
"We propose to build a real estate portal that allows users to post property for sale as well as search sort property and contact its dealers online. It also consists of an innovative feature that allows users to post reviews of the dealing process with a buyer after their deal. This allows the buyers to verify a sellers profile and view his past deal experiences from other user reviews on his profile. Every user on the portal has a profile that can be viewed by to check his past deals status.

A user may post bad reviews about another user he has dealt with if any payment issues are encountered during the deal. So users may now verify that particular user before dealing with him. The system consists of a user login, users may look for property as per area, Bhk, Location as well as other amenities like lift, furnished, semi-furnished etc. The system sorts property and displays results list as desired by user. Users may also post a property for sale along with desired price, location and contact details. The system also consists of a builder login where a builder may login and post his new project for those looking to buy new flats/offices.","we propose to build a real estate portal that allows users to post property for sale as well as search sort property and contact its dealers online it also consists of an innovative feature that allows users to post reviews of the dealing process with a buyer after their deal this allows the buyers to verify a sellers profile and view his past deal experiences from other user reviews on his profile every user on the portal has a profile that can be viewed by to check his past deals status

a user may post bad reviews about another user he has dealt with if any payment issues are encountered during the deal so users may now verify that particular user before dealing with him the system consists of a user login users may look for property as per area bhk location as well as other amenities like lift furnished semifurnished etc the system sorts property and displays results list as desired by user users may also post a property for sale along with desired price location and contact details the system also consists of a builder login where a builder may login and post his new project for those looking to buy new flatsoffices","{
  ""entities"": [
    {
      ""name"": ""User"",
      ""attributes"": [
        ""user_id"",
        ""username"",
        ""password"",
        ""email"",
        ""phone_number"",
        ""address"",
        ""registration_date"",
        ""user_type""
      ]
    },
    {
      ""name"": ""Property"",
      ""attributes"": [
        ""property_id"",
        ""user_id"",
        ""property_type"",
        ""location"",
        ""price"",
        ""bhk"",
        ""amenities"",
        ""area"",
        ""description"",
        ""status"",
        ""contact_details""
      ]
    },
    {
      ""name"": ""Review"",
      ""attributes"": [
        ""review_id"",
        ""reviewer_user_id"",
        ""reviewee_user_id"",
        ""rating"",
        ""comments"",
        ""deal_date""
      ]
    },
    {
      ""name"": ""Builder"",
      ""attributes"": [
        ""builder_id"",
        ""company_name"",
        ""contact_details"",
        ""website"",
        ""registration_date""
      ]
    },
    {
      ""name"": ""Project"",
      ""attributes"": [
        ""project_id"",
        ""builder_id"",
        ""project_name"",
        ""location"",
        ""price_range"",
        ""project_type"",
        ""available_units"",
        ""project_description""
      ]
    },
    {
      ""name"": ""Deal"",
      ""attributes"": [
        ""deal_id"",
        ""buyer_user_id"",
        ""seller_user_id"",
        ""property_id"",
        ""deal_status"",
        ""deal_date"",
        ""payment_status""
      ]
    }
  ],
  ""relationships"": [
    {
      ""from"": ""User"",
      ""to"": ""Property"",
      ""label"": ""Posts""
    },
    {
      ""from"": ""User"",
      ""to"": ""Review"",
      ""label"": ""Writes""
    },
    {
      ""from"": ""User"",
      ""to"": ""Deal"",
      ""label"": ""Makes""
    },
    {
      ""from"": ""User"",
      ""to"": ""Builder"",
      ""label"": ""CanBeSellerFor""
    },
    {
      ""from"": ""Builder"",
      ""to"": ""Project"",
      ""label"": ""Posts""
    },
    {
      ""from"": ""Property"",
      ""to"": ""Deal"",
      ""label"": ""IsPartOf""
    },
    {
      ""from"": ""User"",
      ""to"": ""Review"",
      ""label"": ""WritesAbout""
    },
    {
      ""from"": ""User"",
      ""to"": ""User"",
      ""label"": ""Reviews""
    },
    {
      ""from"": ""Deal"",
      ""to"": ""Review"",
      ""label"": ""Triggers""
    }
  ]
}
"
"We usually come across movie rating websites where users are allowed to rate ad comment on movies online. These ratings are provided as input to the website rating system. The admin then checks reviews, criticÃ¢ÂÂs ratings and displays an online rating for every movie. Here we propose an online system that automatically allows users to post reviews and stores them to rate movies based on user sentiments. The system now analyzes this data to check for user sentiments associated with each comment. Our system consists of a sentiment library designed for English as well as hindi sentiment analysis. The system breaks user comments to check for sentimental keywords and predicts user sentiment associated with it. Once the keywords are found it associates the comment with a sentiment rank. The system now gathers all comments for a particular movie and then calculates an average ranting to score it. This score is generated for every movie in the system. The system also sorts and displays top rating movies as per analys and calculates a top ten list automatically. This provides an automated movie rating system based on sentiment analysis.",we usually come across movie rating websites where users are allowed to rate ad comment on movies online these ratings are provided as input to the website rating system the admin then checks reviews critics ratings and displays an online rating for every movie here we propose an online system that automatically allows users to post reviews and stores them to rate movies based on user sentiments the system now analyzes this data to check for user sentiments associated with each comment our system consists of a sentiment library designed for english as well as hindi sentiment analysis the system breaks user comments to check for sentimental keywords and predicts user sentiment associated with it once the keywords are found it associates the comment with a sentiment rank the system now gathers all comments for a particular movie and then calculates an average ranting to score it this score is generated for every movie in the system the system also sorts and displays top rating movies as per analys and calculates a top ten list automatically this provides an automated movie rating system based on sentiment analysis,"{'entities': [{'name': 'User', 'attributes': ['id', 'username']}, {'name': 'Movie', 'attributes': ['title', 'id']}, {'name': 'Review', 'attributes': ['id', 'text', 'sentimentRank']}], 'relationships': [{'from': 'User', 'to': 'Review', 'label': 'posted'}, {'from': 'Movie', 'to': 'Review', 'label': 'has'}, {'from': 'Review', 'to': 'Movie', 'label': 'about'}, {'from': 'Review', 'to': 'User', 'label': 'from'}]}"
"Nowadays people often need to transfer cash from one account to another. In such cases they need to go to bank or search for PC connected to internet to get access to the services offered by internet banking for reliable fund transfer. This system proves to be really beneficial in such cases. As with the help of this system the user just needs to enter the account details. For security, DES algorithm is used along with instant verification and consistency check algorithm. All these are performed for secure electronic fund transfer. Thus a user just needs to visit any EFT center, in order to make the payment. The transfer is done instantly using a single portable card. In this way the user can make the payment securely as this system uses DES for security and the transfer is being done instantly. As soon as the user card is scanned, it receives a SMS message. SMS consists of OTP which is unique. All the user needs to do is enter this OTP received which increases level of security. After OTP the user needs to enter account details. This data is being encrypted using DES before sending it over the network. Thus this system ensures security for electronic fund transfer using DES.",nowadays people often need to transfer cash from one account to another in such cases they need to go to bank or search for pc connected to internet to get access to the services offered by internet banking for reliable fund transfer this system proves to be really beneficial in such cases as with the help of this system the user just needs to enter the account details for security des algorithm is used along with instant verification and consistency check algorithm all these are performed for secure electronic fund transfer thus a user just needs to visit any eft center in order to make the payment the transfer is done instantly using a single portable card in this way the user can make the payment securely as this system uses des for security and the transfer is being done instantly as soon as the user card is scanned it receives a sms message sms consists of otp which is unique all the user needs to do is enter this otp received which increases level of security after otp the user needs to enter account details this data is being encrypted using des before sending it over the network thus this system ensures security for electronic fund transfer using des,"{'entities': [{'name': 'User', 'attributes': ['account_details', 'otp']}, {'name': 'Account', 'attributes': ['details']}, {'name': 'EFT Center', 'attributes': []}, {'name': 'Card', 'attributes': []}], 'relationships': [{'from': 'User', 'to': 'Account', 'label': 'Owns'}, {'from': 'User', 'to': 'EFT Center', 'label': 'Visits'}, {'from': 'User', 'to': 'Card', 'label': 'Uses'}, {'from': 'Card', 'to': 'EFT Center', 'label': 'UsedFor'}]}"
"Online Election System would have Candidate registration, document verification, auto-generated User ID and pass for candidate and Voters. Admin Login which will be handled by Election Commission .Candidate Login which will be handled By Candidate, Voters will get Unique ID and Password, Using which they can vote for a Candidate only once per Election. The project is beneficial for Election Commission, Voters as the can get to know the candidate background and choose wisely, and even for Candidate. The software system allows the Candidate to login in to their profiles and upload all their details including their previous milestone onto the system. The admin can check each Candidate details and verify the documents, only after verifying CandidateÃ¢ÂÂs ID and Password will be generated, and can remove faulty accounts. The software system allows Voters to view a list of Candidates in their area. The admin has overall rights over the system and can moderate and delete any details not pertaining to Election Rul",online election system would have candidate registration document verification autogenerated user id and pass for candidate and voters admin login which will be handled by election commission candidate login which will be handled by candidate voters will get unique id and password using which they can vote for a candidate only once per election the project is beneficial for election commission voters as the can get to know the candidate background and choose wisely and even for candidate the software system allows the candidate to login in to their profiles and upload all their details including their previous milestone onto the system the admin can check each candidate details and verify the documents only after verifying candidates id and password will be generated and can remove faulty accounts the software system allows voters to view a list of candidates in their area the admin has overall rights over the system and can moderate and delete any details not pertaining to election rul,"{'entities': [{'name': 'Candidate', 'attributes': ['id', 'password', 'background', 'previous_milestone']}, {'name': 'Voter', 'attributes': ['id', 'password', 'unique_id']}, {'name': 'Election', 'attributes': ['id', 'candidates']}, {'name': 'Admin', 'attributes': ['id', 'username', 'password', 'rights']}], 'relationships': [{'from': 'Candidate', 'to': 'Voter', 'label': 'VOTED_FOR'}, {'from': 'Candidate', 'to': 'Election', 'label': 'PARTICIPATES_IN'}, {'from': 'Voter', 'to': 'Election', 'label': 'PARTICIPATES_IN'}, {'from': 'Admin', 'to': 'Candidate', 'label': 'VERIFIES'}, {'from': 'Admin', 'to': 'Voter', 'label': 'AUTHENTICATES'}, {'from': 'Admin', 'to': 'Election', 'label': 'MANAGES'}]}"
"We here use a system to securely transfer a message encrypted using Aes algorithm to a remote site so that only proper authentication at remote site can decrypt the message. The system also uses acknowledgements to signal the message integrity and delivery over the network. The system consists of two terminal applications running concurrently over two different PCÃ¢ÂÂs. User may first use the sending tab to send a secure message. On using this function the accepts user string and key to encrypt it. The system then receives this message and encrypts it using AES algorithm. Now the system transfers this message to remote site using over a Tcp/ip internet connection. The receiving system sends out a notification acknowledgement to the sender application as soon as it receives the string. It them allows receiving user to enter the key. The system now decrypts message using the key and sends out a notification to sender weather the receiver enter the right key or wrong one. Entering right key decrypts message to ext string sent, entering wrong key decrypts message to something wrong.",we here use a system to securely transfer a message encrypted using aes algorithm to a remote site so that only proper authentication at remote site can decrypt the message the system also uses acknowledgements to signal the message integrity and delivery over the network the system consists of two terminal applications running concurrently over two different pcs user may first use the sending tab to send a secure message on using this function the accepts user string and key to encrypt it the system then receives this message and encrypts it using aes algorithm now the system transfers this message to remote site using over a tcpip internet connection the receiving system sends out a notification acknowledgement to the sender application as soon as it receives the string it them allows receiving user to enter the key the system now decrypts message using the key and sends out a notification to sender weather the receiver enter the right key or wrong one entering right key decrypts message to ext string sent entering wrong key decrypts message to something wrong,"{
  ""entities"": [
    {
      ""name"": ""Message"",
      ""attributes"": [
        ""message_id"",
        ""content"",
        ""encrypted_content"",
        ""decrypted_content"",
        ""status"",
        ""sent_timestamp"",
        ""received_timestamp""
      ]
    },
    {
      ""name"": ""User"",
      ""attributes"": [
        ""user_id"",
        ""username"",
        ""email"",
        ""password"",
        ""role"",
        ""login_timestamp""
      ]
    },
    {
      ""name"": ""EncryptionKey"",
      ""attributes"": [
        ""key_id"",
        ""key_value"",
        ""expiration_timestamp""
      ]
    },
    {
      ""name"": ""Acknowledgement"",
      ""attributes"": [
        ""ack_id"",
        ""message_id"",
        ""ack_status"",
        ""timestamp""
      ]
    },
    {
      ""name"": ""TcpIpConnection"",
      ""attributes"": [
        ""connection_id"",
        ""sender_ip"",
        ""receiver_ip"",
        ""status"",
        ""timestamp""
      ]
    }
  ],
  ""relationships"": [
    {
      ""from"": ""User"",
      ""to"": ""Message"",
      ""label"": ""Sends""
    },
    {
      ""from"": ""User"",
      ""to"": ""Message"",
      ""label"": ""Receives""
    },
    {
      ""from"": ""Message"",
      ""to"": ""Acknowledgement"",
      ""label"": ""Triggers""
    },
    {
      ""from"": ""Message"",
      ""to"": ""EncryptionKey"",
      ""label"": ""Uses""
    },
    {
      ""from"": ""TcpIpConnection"",
      ""to"": ""Message"",
      ""label"": ""Transfers""
    },
    {
      ""from"": ""Acknowledgement"",
      ""to"": ""Message"",
      ""label"": ""Confirms""
    }
  ]
}
"
This project helps the users in curing its disease by giving the list of fruits and herbs that the user should consume in order to get rid of its disease. The main purpose of this project is to help the user to easily search for herbs and fruits that will be good for the health of the user depending on any health issue or disease that he/she is suffering from. This system helps the user to reduce its searching time to a great extent by allowing the user to enter its health problem and search accordingly. The admin can add fruits and herbs to the system and its information. This system also allows the user to view the selected fruit or the herbÃ¢ÂÂs description which describes how the fruit or the herb will help to improve the userÃ¢ÂÂs health. This system also allows the user to place order which will add the items to the userÃ¢ÂÂs cart and make payment for the same. The system also includes a module in which the user can search for the hospitals depending on the name of the disease that it enters. Thus this syslps to cure the userÃ¢ÂÂs disease to a great exten,this project helps the users in curing its disease by giving the list of fruits and herbs that the user should consume in order to get rid of its disease the main purpose of this project is to help the user to easily search for herbs and fruits that will be good for the health of the user depending on any health issue or disease that heshe is suffering from this system helps the user to reduce its searching time to a great extent by allowing the user to enter its health problem and search accordingly the admin can add fruits and herbs to the system and its information this system also allows the user to view the selected fruit or the herbs description which describes how the fruit or the herb will help to improve the users health this system also allows the user to place order which will add the items to the users cart and make payment for the same the system also includes a module in which the user can search for the hospitals depending on the name of the disease that it enters thus this syslps to cure the users disease to a great exten,"{
  ""entities"": [
    {
      ""name"": ""User"",
      ""attributes"": [
        ""user_id"",
        ""name"",
        ""email"",
        ""password"",
        ""address"",
        ""contact_number"",
        ""health_problem"",
        ""order_history""
      ]
    },
    {
      ""name"": ""HealthProblem"",
      ""attributes"": [
        ""problem_id"",
        ""problem_name"",
        ""problem_description""
      ]
    },
    {
      ""name"": ""Fruit"",
      ""attributes"": [
        ""fruit_id"",
        ""name"",
        ""description"",
        ""health_benefit""
      ]
    },
    {
      ""name"": ""Herb"",
      ""attributes"": [
        ""herb_id"",
        ""name"",
        ""description"",
        ""health_benefit""
      ]
    },
    {
      ""name"": ""Order"",
      ""attributes"": [
        ""order_id"",
        ""user_id"",
        ""order_date"",
        ""order_status"",
        ""total_price"",
        ""order_items""
      ]
    },
    {
      ""name"": ""OrderItem"",
      ""attributes"": [
        ""item_id"",
        ""product_type"",
        ""product_id"",
        ""quantity"",
        ""price""
      ]
    },
    {
      ""name"": ""Hospital"",
      ""attributes"": [
        ""hospital_id"",
        ""name"",
        ""address"",
        ""contact_number"",
        ""specialties""
      ]
    },
    {
      ""name"": ""Admin"",
      ""attributes"": [
        ""admin_id"",
        ""name"",
        ""email"",
        ""password"",
        ""role""
      ]
    }
  ],
  ""relationships"": [
    {
      ""from"": ""User"",
      ""to"": ""HealthProblem"",
      ""label"": ""Has""
    },
    {
      ""from"": ""User"",
      ""to"": ""Order"",
      ""label"": ""Places""
    },
    {
      ""from"": ""Order"",
      ""to"": ""OrderItem"",
      ""label"": ""Contains""
    },
    {
      ""from"": ""OrderItem"",
      ""to"": ""Fruit"",
      ""label"": ""Contains""
    },
    {
      ""from"": ""OrderItem"",
      ""to"": ""Herb"",
      ""label"": ""Contains""
    },
    {
      ""from"": ""User"",
      ""to"": ""Hospital"",
      ""label"": ""Searches for""
    },
    {
      ""from"": ""Admin"",
      ""to"": ""Fruit"",
      ""label"": ""Adds""
    },
    {
      ""from"": ""Admin"",
      ""to"": ""Herb"",
      ""label"": ""Adds""
    },
    {
      ""from"": ""Admin"",
      ""to"": ""Hospital"",
      ""label"": ""Adds""
    }
  ]
}
"
"Diagnosis centres need to maintain good relations with their clients. There is always a database of clients maintained in every diagnostics centre. The database includes client contact details as well as his tests done. It includes data like contact numbers, name, address, email etc. Clients may conduct various tests at the diagnostic centre including blood test, urine test as well as cholesterol, liver and kidney tests. The system must be capable of evaluating patient bills and providing them in printable format. The system also allows admin to store and update patient data for existing and new patients. Since every client must be working for some or the other organization and many organizations have contracts with diagnostics centre to provide discounts to their employees, the system tracks this information too. Now the system also keeps count of the number of tests undergone by a patient in a year. After 10 tests in a year the system provides 5% discount to the patient from the 11th test in a particular year. The system also allows admin to sort out tests frequency and search particular patient records. Company wise discount rates are fed in to the system.",diagnosis centres need to maintain good relations with their clients there is always a database of clients maintained in every diagnostics centre the database includes client contact details as well as his tests done it includes data like contact numbers name address email etc clients may conduct various tests at the diagnostic centre including blood test urine test as well as cholesterol liver and kidney tests the system must be capable of evaluating patient bills and providing them in printable format the system also allows admin to store and update patient data for existing and new patients since every client must be working for some or the other organization and many organizations have contracts with diagnostics centre to provide discounts to their employees the system tracks this information too now the system also keeps count of the number of tests undergone by a patient in a year after 10 tests in a year the system provides 5 discount to the patient from the 11th test in a particular year the system also allows admin to sort out tests frequency and search particular patient records company wise discount rates are fed in to the system,"{
  ""entities"": [
    {
      ""name"": ""Client"",
      ""attributes"": [
        ""client_id"",
        ""name"",
        ""contact_number"",
        ""address"",
        ""email"",
        ""organization_id"",
        ""total_tests_this_year"",
        ""discount_eligible""
      ]
    },
    {
      ""name"": ""Test"",
      ""attributes"": [
        ""test_id"",
        ""test_name"",
        ""test_type"",
        ""price"",
        ""test_date"",
        ""client_id""
      ]
    },
    {
      ""name"": ""Organization"",
      ""attributes"": [
        ""organization_id"",
        ""name"",
        ""contact_number"",
        ""address"",
        ""email"",
        ""discount_rate""
      ]
    },
    {
      ""name"": ""Admin"",
      ""attributes"": [
        ""admin_id"",
        ""name"",
        ""email"",
        ""password""
      ]
    },
    {
      ""name"": ""Bill"",
      ""attributes"": [
        ""bill_id"",
        ""client_id"",
        ""test_details"",
        ""total_amount"",
        ""discount_amount"",
        ""final_amount"",
        ""bill_date""
      ]
    }
  ],
  ""relationships"": [
    {
      ""from"": ""Client"",
      ""to"": ""Test"",
      ""label"": ""Undergoes""
    },
    {
      ""from"": ""Client"",
      ""to"": ""Organization"",
      ""label"": ""Belongs to""
    },
    {
      ""from"": ""Organization"",
      ""to"": ""Client"",
      ""label"": ""Offers Discount""
    },
    {
      ""from"": ""Admin"",
      ""to"": ""Client"",
      ""label"": ""Manages""
    },
    {
      ""from"": ""Admin"",
      ""to"": ""Test"",
      ""label"": ""Manages""
    },
    {
      ""from"": ""Admin"",
      ""to"": ""Organization"",
      ""label"": ""Manages""
    },
    {
      ""from"": ""Client"",
      ""to"": ""Bill"",
      ""label"": ""Receives""
    }
  ]
}
"
